"control_number","session_number","session_type","abstract_title","author_block","abstract_body","abstract_type","abstract_scientific_area","abstract_clinical_area"
"ASC20210415","08.08","QuickShot","YAG Capsulotomy Rates Between two Types of Trifocal Intraocular Lenses","M. Ali<sup>1</sup>, A. B. Abdul Jabbar<sup>1</sup>, M. H. Zahid<sup>1</sup>, M. Siddiqui<sup>1</sup> <sup>1</sup>Aga Khan University Medical College,Karachi, Sindh, Pakistan","<strong>Introduction</strong>: 
To evaluate YAG capsulotomy rates following implantation of two types of trifocal intraocular lenses (IOLs).

<br><br><strong>Methods</strong>: 
Eyes which either had an AT Lisa Tri or Alcon PanOptix IOL implant were included. The primary outcome measure was Nd:YAG laser capsulotomy. The rate of laser capsulotomy between the groups was compared using Chi-Squared test. A p-value of &lt; 0.05 was taken as statistically significant.

<br><br><strong>Results</strong>:

A total of 328 eligible eyes were identified. Nine eyes were excluded due to incorrect procedure code or missing files. Out of the 319 eyes of 177 patients included in this study, 180 received AT Lisa Tri while 139 of them received Alcon PanOptix Trifocal IOLs.

The mean (SD) age of the patients was 52.29 years (&plusmn;11.04). Gender was equally distributed with 91 male patients (51.4%). Median (IQR) time to laser capsulotomy was 8 months (3-16). Clinically posterior capsular opacification (PCO) was present in 75 eyes (23.5%). A total of 39 eyes (12.2%) underwent Nd:YAG laser capsulotomy. Among the AT Lisa Tri group 29 eyes (16.1%) underwent laser capsulotomy compared to 10 (7.2%) (n=10) in Alcon PanOptix group (p=0.016).


<br><br><strong>Conclusion</strong>:
In this study cohort, eyes implanted with AT Lisa Tri showed a significantly increased rate of YAG capsulotomy. A prospective randomized control trial is recommended to confirm these findings.
","Clinical/Outcomes","Patient-Centered Outcomes","Minimally Invasive Surgery"
"ASC20210975","08.09","QuickShot","Repair of the Iliac Artery Injury in Trauma: An Endovascular Operation?","H. Abdou<sup>1</sup>, M. Ottochian<sup>1</sup>, R. Kundi<sup>1</sup>, J. DuBose<sup>1</sup>, T. M. Scalea<sup>1</sup>, J. J. Morrison<sup>1</sup> <sup>1</sup>University Of Maryland,Surgery,Baltimore, MD, USA","<strong>Introduction</strong>: 
Endovascular techniques for the treatment of non-traumatic iliac disease are often considered first line therapies that are both durable and lower risk than operative intervention. The role of these techniques in traumatic lesions is unclear but has potential benefits. The aim of this study is to use a national registry to compare outcomes for open versus endovascular management of traumatic iliac injuries.

<br><br><strong>Methods</strong>: 
The National Trauma Data Bank was searched for all adult patients from 2002-2016 with iliac arterial injury as identified by either Abbreviated Injury Scale or International Classification of Disease scores. Patients were excluded who were transferred between hospitals, declared dead prior to the operating room, had a non-survivable head injury, traumatic amputation, multiple arterial injuries or were treated using open and endovascular techniques. Patients were considered by method of repair (open or endo) and mechanism (blunt or penetrating) and matched based on mangled extremity score variables: age, hypotension and time until operative repair. Using unpaired Student&rsquo;s t-test and a p value of 0.05, comparison was made between 30-day rates of amputation in the groups.

<br><br><strong>Results</strong>:

Overall, 2856 iliac injuries were identified: 1892 (66%) blunt and 964 (34%) penetrating injuries. In the blunt group, 342 (18%) had open surgery and 1550 (82%) underwent endovascular repair. Post-matching, 335 patients were matched in each group. Despite a higher proportion of chest, abdomen and extremity injuries in the endo group, and well-matched physiology and time to the operating room between the groups, endo repair was associated with a significantly lower rate of amputation than open repair (0.6% vs. 3.6%, p=0.015). A higher rate of venous injury was noted in the open versus endo group (13.7% vs. 1.8%, p&lt;0.001).

Within the penetrating injury group, 755 (78%) had open and 209 (22%) had endo repair. Post-matching, 198 patients were matched per group, with endo patients having a higher rate of fracture and extremity injury, but open patients sustaining more venous injury (48.5% vs. 37.4%, p=0.03). Endo repair was associated with a lower rate of amputation than open repair (0% vs. 5.1%, p=0.004).


<br><br><strong>Conclusion</strong>:
Endovascular repair of iliac arterial injury was associated with a significantly lower rate of amputation than open surgery regardless of mechanism. However, open repair was also associated with traumatic venous injury and it is unknown whether this represents a data collection phenomenon (ie: observed at surgery, but not at angiography) or a real clinical entity. Further work is required to delineate the benefit of endovascular intervention and the role of iliac vein injury in limb salvage.
","Clinical/Outcomes","Patient-Centered Outcomes","Trauma/Critical Care"
"ASC20211365","08.10","QuickShot","Effect of Tourniquets on Bleeding Control and Outcomes in Non-Traumatic Vascular Access Hemorrhage","J. Holloway<sup>1,3</sup>, C. M. Marsh<sup>1,3</sup>, C. De Virgilio<sup>1,2</sup>, A. Moazzez<sup>2</sup>, D. Kim<sup>1</sup> <sup>1</sup>David Geffen School Of Medicine, University Of California At Los Angeles,Surgery,Los Angeles, CA, USA <sup>2</sup>Harbor-UCLA Medical Center,Department Of Surgery,Torrance, CA, USA <sup>3</sup>Charles R. Drew University of Medicine and Science,College Of Medicine,Los Angeles, CA, USA","<strong>Introduction</strong>:  There has been increased public awareness of the role of tourniquets for extremity hemorrhage control due to national efforts such as the Stop the Bleed campaign. Although much of the focus has been placed on traumatic bleeding, hemorrhage from vascular access (AV fistula and graft) is an uncommon yet potentially fatal complication for which the optimal method of bleeding control has yet to be defined. We aim to&nbsp;To describe the use of tourniquets and examine their effect on outcomes in patients with vascular access hemorrhage.

<br><br><strong>Methods</strong>:  We performed a 5-year retrospective cohort analysis of adult patients presenting to our Level 1 trauma center with vascular access bleeding. Variables analyzed were demographics, type and location of access, admission vital signs, method of hemorrhage control, transfusion requirements, loss of access, complications, and mortality. Patients who had tourniquets placed were compared to those who did not.


<br><br><strong>Results</strong>: Of 91 patients, the mean age was 65 years old and hemorrhage occurred outside of the dialysis center in 71%. Tourniquets were placed in 34 (37%), of which 62% were successful in controlling bleeding. In 50 patients (55%), non-medical personnel were responsible for initial attempts at bleeding control. 26 (29%) presented in shock and 17 (19%) received blood products in the emergency room. Mortality was 3%, and loss of access occurred in 23%. There was no difference between the tourniquet and non-tourniquet groups with respect to the presence of shock, need for transfusion, mortality, or loss of access (p=NS).


<br><br><strong>Conclusion</strong>:&nbsp;Vascular access hemorrhage occurs more commonly in non-healthcare settings and, in the majority of cases, initial attempts at bleeding control are dependent on non-medical personnel. Although mortality is low, nearly &frac14; end up losing their access site. Further studies are required to determine the effectiveness and safety of routine tourniquet use for patients with vascular access bleeding complications.
","Clinical/Outcomes","Patient-Centered Outcomes","Trauma/Critical Care"
"ASC20210455","08.11","QuickShot","Increased Mortality in Hip Fracture Patients with Aortic Stenosis and Pulmonary Hypertension","C. Cignoni<sup>1</sup>, S. Vuu<sup>1</sup>, J. Clark<sup>1</sup>, J. Hagan<sup>1</sup>, D. Taylor<sup>1</sup>, C. Watson<sup>1</sup>, L. Ferber<sup>1</sup>, W. Richards<sup>1</sup>, D. Ang<sup>1</sup> <sup>1</sup>University of Central Florida,General Surgery,Ocala, FL, USA","<strong>Introduction</strong>:  Hip fractures are one of the most common traumatic injuries in the United States, secondary to an aging population. Multiple co-morbidities are found in patients who present to Trauma Centers (TC) with isolated hip fracture (IHF) including significant cardiac disease. Aortic stenosis (AS) among these patients has been recently shown to increase mortality. However, factors leading to death from aortic stenosis are unknown. We hypothesize that pulmonary hypertension (PHTN) is a significant mechanism of death among IHF patients with AS.

<br><br><strong>Methods</strong>:  This is a multi-center retrospective cohort study examining IHF patients treated at Level I and II TC within a large hospital system from 2015-2019. Patients who had IHF and AS were compared to those who had IHF, AS, and PHTN. Multivariable logistic regression was used to risk adjust by age, race, insurance status, and other comorbidities. The primary outcome was inpatient mortality. The secondary outcomes were hospital acquired complications.

<br><br><strong>Results</strong>: A total of 1,388 IHF patients with AS were included in the study. Eleven percent of these patients also had PHTN. The crude mortality rate was higher if IHF patients had both AS and PHTN compared to IHF with AS alone, 9% vs. 3.7%, p-value 0.003. After risk adjustment, higher risk of mortality was still significant aOR 2.56 (95% CI 1.28, 5.11). In addition, IHF patients with both AS and PHTN had higher complication rates; specifically, cerebrovascular accident (2.8% vs 0.6% p-value 0.01), acute kidney injury (31.0% vs 21.9%, p-value 0.01), and hemorrhagic shock (2.1% vs 0.4%, p-value 0.01).

<br><br><strong>Conclusion</strong>: PHTN among IHF with AS increases the likelihood of inpatient mortality by 2.5 times. This is an important mechanism of death to identify because it will alter the peri-operative management in a significant subset of these patients.
","Clinical/Outcomes","Other","Trauma/Critical Care"
"ASC20210686","08.12","QuickShot","Blunt Bowel and Mesenteric Injury: the Utility of CT in Diagnosis","A. E. Aicher<sup>1</sup>, M. Zawin<sup>2</sup>, M. Samuel<sup>2</sup>, J. Vosswinkel<sup>1</sup>, R. Jawa<sup>1</sup> <sup>1</sup>Stony Brook University Medical Center,Trauma, Emergency Surgery, And Surgical Critical Care,Stony Brook, NY, USA <sup>2</sup>Stony Brook University Medical Center,Radiology,Stony Brook, NY, USA","<strong>Introduction</strong>:  Blunt bowel and mesenteric injury (BBMI) is a rare&nbsp;occurrence associated with substantial morbidity. Diagnosis remains challenging.&nbsp;We sought to evaluate the demographics, imaging findings, and outcomes of BBMI patients who had a CT abdomen/pelvis (CT/AP) at admission.

<br><br><strong>Methods</strong>: &nbsp;We queried the trauma registry at an ACS Level 1 suburban trauma center for adults (&ge;18 years) admitted from 1/2009 to 12/2019 who had injury&nbsp;to the small bowel, colon, and/or mesentery after blunt trauma. Patients without admission CT&nbsp;and&nbsp;ED deaths were excluded. Chart review was conducted on BBMI patients and controls matched for age, sex, year of injury, and mechanism of injury.

<br><br><strong>Results</strong>:

During the study period, 73 patients&nbsp;of 14,452 blunt trauma admissions&nbsp;met all&nbsp;criteria.&nbsp; Median patient age was 45 (IQR 26,56) and 61.6% were male. The most common MOI was MVC (52, 71%). The&nbsp;median Injury Severity Score was 25 (IQR 14,36) and median hospital stay was 15 days (IQR 8,29). Nine&nbsp;patients died: 7 had&nbsp;complications of intraperitoneal injury including hemorrhage, fecal peritonitis, or sepsis, 1 with TBI, and 1 with thoracic aortic injury.

Abnormal CT findings (Table 1) were recorded&nbsp;in 97%&mdash;CT&nbsp;alone was 91% sensitive and 91% specific for detecting BBMI confirmed on operation or with serial scans. 27 BBMI patients had 1 of the below CT findings, 31 had 2, 11 had 3, and 4 had 4. The most common concomitant&nbsp;findings were bowel wall pathology with hemoperitoneum/hematoma (14 cases). Non-operative patients were more likely to have only one finding (10/15)&nbsp;than operatively-managed patients (17/58).

Of&nbsp;73 BBMI patients, 15 were managed non-operatively. Of the 58 patients who had laparotomy, 48 BBMI were identified and operated on shortly after imaging.&nbsp; There were&nbsp;2 non-therapeutic laparotomies. Six&nbsp;patients had&nbsp;surgery at 20 hours to 8 days later. The PPV (therapeutic laparotomy/all laparotomies)&nbsp;of laparotomy was&nbsp;96% but&nbsp;the NPV (non-op management/(successful non-op+failed non-op) for&nbsp;non-operative management&nbsp;was 71%.

Of the 147 control patients, one had diaphragm rupture, one had&nbsp;bladder rupture, 5 had splenic laceration grades I-III, 4 had liver laceration grades I-III, and 2 had pancreatic contusion. 3 had ex-lap.&nbsp;

<br><br><strong>Conclusion</strong>:

BBMI occur infrequently.&nbsp; The highest sensitivity CT finding is the presence of hemoperitoneum&nbsp;(74%).&nbsp; However, pneumoperitoneum has the greatest specificity (100%). To avoid delays of care, a high level of clinical suspicion in patients with mechanism and/or&nbsp;radiologic findings is necessary to optimize the care of BBMI patients.&nbsp; &nbsp;
","Clinical/Outcomes","Patient-Centered Outcomes","Trauma/Critical Care"
"ASC20210994","08.13","QuickShot","Direct Peritoneal Resuscitation for Damage Control: A Retrospective Study","J. Martinson<sup>2</sup>, L. O'Meara<sup>1</sup>, C. Cain<sup>1</sup>, R. Vesselinov<sup>1</sup>, M. Ghneim<sup>1</sup>, J. Diaz<sup>1</sup> <sup>1</sup>University Of Maryland,Baltimore, MD, USA <sup>2</sup>MedStar Health Research Institute,Washington, DC, USA","<strong>Introduction</strong>:  While direct peritoneal resuscitation (DPR) been shown to improve outcomes after damage control surgery (DCS), complications associated with DPR remain unexplored. The aim was to evaluate post-operative hypothermia, intra-abdominal hemorrhage (IAH), and abdominal fungal infection (AFI) in patients undergoing DCS with and without DPR.

<br><br><strong>Methods</strong>:  This was a retrospective review of patients receiving DPR following initial DCS from 1/2016 to 7/2019 at a Level I trauma center. &nbsp;Demographic, clinical, and operative characteristics were collected.&nbsp; Outcomes evaluated included post-operative hypothermia, IAH, AFI, hospital length of stay (LOS), primary fascial closure (PFC), and in-hospital mortality (IM), and were compared&nbsp;against patients who&nbsp;did not receive DPR. Univariate and multivariate analysis&nbsp;was performed with a priori significance at p &le; 0.05. Similar analyses were conducted for those undergoing DCS with and without DPR in the setting of abdominal compartment syndrome (ACS) or involvement of large bowel from injury or perforation (LB).

<br><br><strong>Results</strong>: 139 patients were included in the study; 39 underwent DPR (33 EGS, 6 Trauma) and 100 underwent DCS with conventional resuscitation (64 EGS, 36 Trauma). Baseline characteristics and injury severity were&nbsp;similar among both groups. While post- operative hypothermia, IM, AFI, and LOS were also similar, DPR was associated with decreased IAH (OR 0.34 ,95% CI [0.12,0.96], p=0.049). When the analysis was restricted to those presenting with ACS (n=26), DPR was not associated with an increased risk of IAH or AFI but did have lower incidence of PFC (OR 0.11, 95% CI [0.017,0.74], p=0.041). For those presenting with LB (n=62), DPR was associated with increased AFI (OR 5.8, 95% CI [1.2, 28], p=0.03) but not IAH (Table).

<br><br><strong>Conclusion</strong>: In our study, while DPR in the setting of DCS reduced the risk of IAH, it may be associated with increased AFI in LB.&nbsp; Further prospective and large-scale studies are needed to better elucidate these observed trends.

&nbsp;
","Clinical/Outcomes","Clinical Surgical Innovations","Trauma/Critical Care"
"ASC20211374","08.14","QuickShot","Trauma Patient ED Dwell Time is Associated with Patient Outcomes","Z. M. Bauman<sup>1</sup>, A. Raposo-Hadley<sup>1</sup>, C. Roessner<sup>1</sup>, C. H. Evans<sup>1</sup>, E. Cantrell<sup>1</sup> <sup>1</sup>University Of Nebraska College Of Medicine,Trauma And Acute Care Surgery,Omaha, NE, USA","<strong>Introduction</strong>: Emergency Department (ED) dwell time is a metric many EDs focus on for a variety of reasons.&nbsp;&nbsp;Patients spending excess time in the ED utilize resources that are not only costly to the institution and patient, but also occupy beds needed by other patients.&nbsp;&nbsp;Furthermore, literature demonstrates crowed EDs lead to increased patient mortality.&nbsp;&nbsp;However, little is known how this relates to trauma patients.&nbsp;&nbsp;We hypothesize trauma activations significantly increase ED throughput and therefore overall outcomes.


<br><br><strong>Methods</strong>: Retrospective review of all trauma patients admitted to our Level 1, academic trauma center from 1/2018 - 1/2020.&nbsp;&nbsp;Given we are not an accredited pediatric trauma center, we excluded patients &lt; 18 years of age.&nbsp;&nbsp;Furthermore, all direct admit patients were excluded given this was an analysis of ED dwell time.&nbsp;&nbsp;Basic demographics were obtained and trauma activation criteria (based on ACS recommendations) for our institution was followed.&nbsp;&nbsp;Primary outcome included total ED dwell time for trauma activation patients versus non-activations.&nbsp;&nbsp;Secondary outcomes included association with hospital complications, specifically mortality and readmission rates, between trauma activation and non-activation patients based on ACS metrics.&nbsp;&nbsp;Chi-square was used for categorical data and statistical significance was set at&nbsp;p&lt;0.05.


<br><br><strong>Results</strong>:4924 patients were included.&nbsp;&nbsp;2821 (57.3%) activations and 2103 (42.7%) non-activations.&nbsp;&nbsp;Demographics breakdown can be seen in the table.&nbsp;&nbsp;Mean ED dwell time for trauma activation patients was 2 hours 51 minutes (&plusmn;2 hours 2 minutes) compared to 5 hours 26 minutes (&plusmn;2 hours 41 minutes) for non-activation trauma patients (p&lt;0.001).&nbsp;&nbsp;Trauma activations (and therefore less ED dwell time) were associated with less overall hospital complications (20.1% vs 32.3%;&nbsp;p&lt;0.001).&nbsp;&nbsp;Mortality rates for trauma activations were higher (5.7% vs 1.3%;&nbsp;p&lt;0.001).&nbsp;&nbsp;However, readmission rates were lower for trauma activation patients (3.2% vs 30%;&nbsp;p&lt;0.001).


<br><br><strong>Conclusion</strong>:Trauma patients presenting as activations not only have significantly shorter ED dwell times by approximately 2.5 hours but also experience decreased hospital complications and lower readmission rates when compared to non-activated trauma patients.&nbsp;&nbsp;Given the acuity of activated trauma patients, one would expect the mortality to be higher.&nbsp;&nbsp;Emphasis should be placed on moving trauma patients through the ED as quickly as possible to avoid unwanted outcomes. &nbsp; &nbsp;&nbsp;

&nbsp;
","Clinical/Outcomes","Patient-Centered Outcomes","Trauma/Critical Care"
"ASC20210777","08.15","QuickShot","Outcomes of Early Venous Thromboembolism Prophylaxis in Isolated Traumatic Brain Injuries","D. W. Kim<sup>1</sup>, A. Humayun<sup>1</sup>, S. Seng<sup>1</sup>, A. Lee<sup>2</sup>, S. Durgin<sup>1</sup>, A. Papa<sup>2</sup>, D. Lapoint<sup>2</sup>, A. Lowenfeld<sup>2</sup>, J. Palmbach<sup>2</sup>, N. Pantle<sup>2</sup>, A. Lozano<sup>3</sup>, A. Hanlon<sup>3</sup>, A. Ratnasekera<sup>1</sup> <sup>1</sup>Crozer Chester Medical Center,Department Of Surgery,Upland, PA, USA <sup>2</sup>Philadelphia College of Osteopathic Medicine,Philadelphia, PA, USA <sup>3</sup>Virginia Polytechnic Institute and State University,Center For Biostatistics And Health Data Science,Roanoke, VA, USA","<strong>Introduction</strong>:  The ideal timing for initiating chemical venous thromboembolism (VTE) prophylaxis in patients with isolated traumatic brain injury (TBI) is&nbsp;not clearly defined.&nbsp;We aimed to&nbsp;determine if early initiation of VTE prophylaxis was associated with lower rates of&nbsp;intracranial hemorrhage (ICH)&nbsp;expansion&nbsp;and VTE.

<br><br><strong>Methods</strong>:  A&nbsp;single&nbsp;center, retrospective cohort study&nbsp;was&nbsp;conducted in a Level II Trauma Center&nbsp;from&nbsp;2012 to 2018. Patients with&nbsp;isolated&nbsp;TBI&nbsp;who had&nbsp;initiation of&nbsp;chemical VTE prophylaxis&nbsp;within 24 hours of stable head CT (early)&nbsp;were compared&nbsp;to&nbsp;those who had&nbsp;VTE prophylaxis initiated after 24 hours of stable head CT (late).&nbsp;The&nbsp;primary outcomes&nbsp;of the study&nbsp;were&nbsp;ICH&nbsp;expansion&nbsp;and VTE.&nbsp; Secondary outcomes&nbsp;were&nbsp;ICU&nbsp;length of stay (LOS), hospital LOS, and mortality.&nbsp;Statistical comparisons&nbsp;were accomplished using chi-square tests and non-parametric Kruskal-Wallis tests for categorical and continuous variables, respectively.

<br><br><strong>Results</strong>: Among 631 patients with isolated&nbsp;TBI,&nbsp;199 were started on&nbsp;VTE prophylaxis.&nbsp;61 patients had&nbsp;early initiation of VTE prophylaxis, and 138 were&nbsp;initiated late.&nbsp;The rate&nbsp;of VTE was 1.7% in the&nbsp;early group,&nbsp;8.7% in the late group&nbsp;(p&lt;0.0001),&nbsp;and 1.2% in&nbsp;the group&nbsp;that&nbsp;did not received&nbsp;chemical&nbsp;VTE prophylaxis. The rate&nbsp;of&nbsp;ICH expansion was&nbsp;6.6% in the early group and 4.3% in the late group (p=0.5698).&nbsp;ICH expansion rate was&nbsp;3.7% (n=16)&nbsp;in the&nbsp;group&nbsp;who received no chemical VTE prophylaxis.&nbsp;Patients in the late VTE prophylaxis&nbsp;group had longer hospital LOS (p&lt;0.001) and ICU LOS (p&lt;0.001).&nbsp;

<br><br><strong>Conclusion</strong>:&nbsp;The study shows early initiation of chemical VTE prophylaxis in TBI patients decreased VTE&nbsp;complications&nbsp;without&nbsp;an increased&nbsp;risk of ICH expansion.

&nbsp;
","Clinical/Outcomes","Patient-Centered Outcomes","Trauma/Critical Care"
"ASC20211280","08.16","QuickShot","Subtotal Laparoscopic Cholecystectomy: A Safe Alternative","A. Byskosh<sup>1</sup>, B. Stocker<sup>1</sup>, D. Liu<sup>1</sup>, J. Li<sup>1</sup>, C. Devin<sup>1</sup>, G. Quach<sup>1</sup>, H. Weiss<sup>1</sup>, J. Posluszny<sup>1</sup> <sup>1</sup>Feinberg School Of Medicine - Northwestern University,Department Of Surgery,Chicago, IL, USA","<strong>Introduction</strong>: &nbsp;Subtotal laparoscopic cholecystectomy (SUB) is a frequent alternative to total laparoscopic cholecystectomy (TOT) when the critical view of safety (CVS) cannot be achieved. Little is known about the clinical factors and outcomes associated with SUB. Our objective was to determine predictive factors and outcomes of SUB as compared to TOT.


<br><br><strong>Methods</strong>:  We retrospectively reviewed the clinical factors and outcomes for patients who were admitted from our ED to the acute care service (ACS) and underwent SUB or TOT by an ACS surgeon for acute biliary disease (2017-2020). Wilcoxon rank sum and Fisher&rsquo;s exact tests were used for continuous and categorical data, respectively.

<br><br><strong>Results</strong>:&nbsp;450 patients underwent cholecystectomy; 19 (4.2%) were SUB. The 19 SUB and 170 randomly selected TOT patients were then reviewed. SUB patients were more likely to be male (57.9% v 25.9%; p=0.006), present to the ED with a longer duration of pain (3d v 1.5d, p=0.041), have a positive Murphy&rsquo;s sign on exam (68.4% v 31.2%; p=0.002), have greater leukocytosis (14.0 v 10.8; p=0.043), receive pre-operative antibiotics (100% v 74.7%; p=0.008) and have a higher Tokyo Grade (2 v 1; p&lt;0.001). Operative findings associated with SUB included perforated gallbladder on first visualization (15.8% v 0.6%; p=0.003), gallbladder decompression at the beginning of dissection (84.2% v 13.5%; p&lt;0.001), inability to achieve the CVS (89.5% v 1.2%; p&lt;0.001), higher blood loss (50mL v 25mL; p=0.009) and intraoperative drain placement (100% v 12.9%; p&lt;0.001). SUB patients had an increased length of stay (4d v 3d; p&lt;0.001), more 1-year readmissions related to their procedure (37.5% v 3.5%; p&lt;0.001) and more often underwent post-discharge ERCP (31.6% v 4.1%; p&lt;0.001). No major biliary tree or vascular injuries occurred in either group.

<br><br><strong>Conclusion</strong>:&nbsp;SUB is more often performed in patients presenting with greater severity of illness based on both preoperative and intraoperative factors. While there were no biliary or vascular injuries, suggesting that SUB may represent a safe alternative when the CVS cannot be achieved, SUB patients do have a more complicated postoperative&nbsp;course. More studies examining the indications for and outcomes of SUB are needed.

&nbsp;
","Clinical/Outcomes","Clinical Surgical Innovations","Trauma/Critical Care"
"ASC20210808","08.17","QuickShot","Additional Urgent Procedures May Confound Observed Benefits of Early Stabilization of Rib Fractures","J. R. Coleman<sup>1</sup>, K. Leasia<sup>2</sup>, E. E. Moore<sup>1,2</sup>, C. C. Burlew<sup>1,2</sup>, R. Lawless<sup>1,2</sup>, K. B. Platnick<sup>1,2</sup>, F. M. Pieracci<sup>1,2</sup> <sup>1</sup>University of Colorado-Denver,Surgery,Aurora, CO, USA <sup>2</sup>Denver Health Medical Center,Surgery,Denver, CO, USA","<strong>Introduction</strong>: 
Previous studies suggest that surgical stabilization of rib fractures (SSRF) should be performed within 48 hours of injury. However, these data may be confounded by the fact that patients who require additional urgent procedures (AUP) experience delay to SSRF. The objective of this study was to characterize the prevalence and order of AUPs among patients who undergo SSRF. We hypothesized that AUPs occur before SSRF and increase time to SSRF.

<br><br><strong>Methods</strong>: 
This is a retrospective review of a prospectively maintained database from an urban, Level-1 trauma center (2010-2020). Patients who underwent isolated SSRF were compared to those who underwent SSRF plus &ge; 1 AUP. AUP was defined as any operative or endovascular procedure &le; 5 days from injury.

<br><br><strong>Results</strong>:

Overall, 202 patients underwent SSRF. The average age was 53 years, the majority (72%) were male, with an average injury severity score of 21. There were 68 patients (34%) who required &ge;1 AUP; 62% underwent one AUP, 26% underwent two AUPs, and 12% underwent &ge;3 AUPs. The most common AUPs were long bone operations (40%), pelvic fixation (28%), and exploratory laparotomy (26%). Compared to patients who underwent SSRF alone, AUP patients were more severely injured (median injury severity score 26 versus 17, p&lt;0.01) and more commonly presented after high mechanism blunt trauma. AUP patients also incurred worse outcomes, including longer hospital length of stay (13 versus 8 days, p&lt;0.01), higher rates of mechanical ventilation (72% versus 23%, p&lt;0.01), and higher tracheostomy rates (72% versus 23%, p&lt;0.01).&nbsp; &nbsp;Among AUP patients, 56% underwent SSRF before the first AUP, 12% simultaneously with AUP, and 32% after the first AUP. Patients who required AUPs underwent SSRF significantly later than patients with no AUPs (hospital day 1.5 versus 0, p&lt;0.01). The greatest delay to SSRF was in spine surgery patients (Figure). Subgroup analysis of AUP patients demonstrated that delay to SSRF was more pronounced patients who underwent SSRF after AUP (n=38) versus prior to AUP (n=22)(2 versus 1 day delay, p=0.01).

<br><br><strong>Conclusion</strong>:
The occurrence of &ge; 1 AUP was associated with both increased injury severity and delayed SSRF. Future studies addressing timing of SSRF should stratify by AUPs, as they likely confound the perceived benefit of early repair.
","Clinical/Outcomes","Patient-Centered Outcomes","Trauma/Critical Care"
"ASC20210488","08.18","QuickShot","Assessment of Intravascular Volume in Critically Ill Patients using Alveolar Recruitment Maneuvers","J. Goswami<sup>1</sup>, M. S. Junker<sup>1</sup>, T. Miles<sup>1</sup>, A. Kurjakto<sup>1</sup>, E. Antpack Filho<sup>1</sup>, J. Pescheman<sup>1</sup>, V. Strajina<sup>1</sup>, M. Rivera<sup>1</sup>, S. Henry<sup>1</sup>, E. Loomis<sup>1</sup> <sup>1</sup>Mayo Clinic,Rochester, MN, USA","<strong>Introduction</strong>:  Optimizing volume status is essential to ICU management and patient outcomes. Ultrasound (US) of the inferior vena cava (IVC) reliably assesses intravascular volume status; however, results are affected by provider technique, body habitus, and surgical dressings. Positive end expiratory pressure (PEEP) prevents and reverses atelectasis. Human and animal studies have shown that elevated PEEP can lead to hemodynamic changes, particularly in hypovolemic subjects. The transient decrease in systolic blood pressure identified in hypovolemic patients during recruitment maneuver appears to be a simple, non-invasive measure of intravascular volume status.&nbsp;&nbsp; This pilot study was performed to validate the use of recruitment maneuvers to assess volume status.

<br><br><strong>Methods</strong>:  Single institution prospective study of mechanically ventilated, hemodynamically unstable patients admitted to a surgical/trauma intensive care unit from December 2015 to March 2019. Consent for the study was obtained from a power of attorney or next of kin. IVC US and recruitment maneuvers were performed concurrently pre-resuscitation and post-resuscitation.&nbsp;&nbsp; Resuscitation status was determined by treating team.&nbsp; IVC measurements were performed in triplicate; mean distensibility index [dIVC = (IVCmax &ndash; IVCmin)/IVCmin x 100] was calculated with dIVC &gt; 18% the cutoff for defined hypovolemia. Recruitment maneuvers were performed by increasing PEEP to 30 for 30 seconds. Systolic blood pressure decrease to &lt;90mmHg or decrease by &ge; 40 mmHg from baseline was considered consistent with hypovolemia. Results from the two methods were compared.

<br><br><strong>Results</strong>: A total of 22 patients were enrolled in the study. Three were excluded for incomplete data (1) or incorrect collection (2). A total of 19 patient data sets were analyzed. Pre-resuscitation, US identified 14/19 (73.6%) patients as hypovolemic; whereas, recruitment maneuver identified 17/19 (89.5%) patients as hypovolemic. Post-resuscitation, US identified 12/19 (63.2%) as hypovolemic; whereas recruitment maneuver identified 9/19 (47.4%) as hypovolemic. US and recruitment maneuver were concordant on 13/19 (68.4%) patients for both pre and post-resuscitation.

<br><br><strong>Conclusion</strong>: Alveolar recruitment maneuvers to assess volume status is feasible.&nbsp; Results from this small pilot study show modest concordance with IVC U/S. Both techniques support that Clinical judgment is not sufficient for assessing hypovolemia and response to volume resuscitation. Further larger studies are necessary to determine the applicability and generalizability of recruitment maneuvers in determining volume status.

&nbsp;
","Clinical/Outcomes","Patient-Centered Outcomes","Trauma/Critical Care"
